;Worldwide Navigation Database
;Exported via DFD v1.0 19.1003
;Software copyright (c) 2019 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;Source data copyright (c) 2019 Jeppesen
;This data may be used for ground based recreational computer game
;simulation software only, and may not be recompiled, interpreted,
;or distributed for any purpose without the written consent of Navigraph.
;The contents of this database is dated and must not be used for real
;world navigation as it is unlawful and unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1804 (29/MAR/2018 - 26/APR/2018) - Ver.1
;------------------------------------------------------
72TE 15   28.885761 -99.995325 159 01585
72TE 33   28.872367 -99.989633 340 01585
74TE 18   32.067133 -97.794264 185 01277
74TE 36   32.055653 -97.795389 365 01277
75OA 09   39.941769 -83.210611 087 01796
75OA 27   39.942278 -83.196339 267 01796
76LS 09   30.956208 -90.546725 090 00762
76LS 27   30.956208 -90.546725 270 00762
77NV 07   39.846667-119.686667 084 01234
77NV 16   39.846667-119.686667 174 01391
77NV 25   39.846667-119.686667 264 01234
77NV 34   39.846667-119.686667 354 01391
77XS 06   29.289906 -95.363444 062 00914
77XS 24   29.293783 -95.355136 242 00914
79ID 15   46.048922-115.869861 164 00335
79ID 33   46.048922-115.869861 344 00335
79KY 09   37.871661 -84.618208 094 01673
79KY 27   37.870900 -84.602806 274 01673
79VG 07   37.665278 -79.812417 062 00686
79VG 25   37.665278 -79.812417 242 00686
7FL6 06   29.077367 -81.050714 052 01220
7FL6 24   29.083025 -81.042539 232 01220
7GA7 11   33.535667 -84.179086 108 00914
7GA7 29   33.535667 -84.179086 288 00914
7KS9 17   37.852318 -97.510353 179 01097
7KS9 35   37.845474 -97.509743 359 01097
7LA4 09   30.380622 -92.146064 093 00805
7LA4 27   30.380622 -92.146064 273 00805
7MN4 03   46.316528 -93.833511 033 00762
7MN4 09   46.319403 -93.830811 093 00381
7MN4 21   46.322281 -93.828110 213 00762
7MN4 27   46.319403 -93.830811 273 00381
7MS4 18   32.606772 -90.192950 179 00914
7MS4 36   32.606772 -90.192950 359 00914
7TX0 17   33.833411 -98.572753 180 01067
7TX0 35   33.823794 -98.572753 360 01067
82IS 13   42.146153 -88.407581 134 00957
82IS 31   42.141067 -88.400117 314 00957
82MI 05   43.112531 -84.520822 045 00663
82MI 23   43.112531 -84.520822 225 00663
82TE 17   33.421253-101.938542 176 01052
82TE 35   33.421253-101.938542 356 01052
82TS 17   32.450125 -99.650364 178 00899
82TS 18   32.450125 -99.650364 188 00997
82TS 35   32.450125 -99.650364 358 00899
82TS 36   32.450125 -99.650364 368 00997
84KS 18   39.272500 -96.061389 184 00766
84KS 36   39.272500 -96.061389 364 00766
85NK 08   42.154228 -79.016431 071 00760
85NK 26   42.154228 -79.016431 251 00760
86IS 09   40.779388 -89.261818 088 00671
86IS 27   40.779388 -89.253853 268 00671
86KS 18   38.710533 -94.824509 186 01369
86KS 36   38.703316 -94.825317 366 01369
88AZ 17   33.640908-111.056917 181 01158
88AZ 35   33.640908-111.056917 361 01158
89NY 06   44.316717 -75.899672 047 01305
89NY 24   44.316717 -75.899672 227 01305
89TE 07   29.275833-103.699167 078 02288
89TE 25   29.280000-103.676111 258 02288
89TS 18   31.573950 -95.765544 188 01584
89TS 36   31.559794 -95.767797 008 01584
8CL1 03   33.186150-117.001975 043 00410
8CL1 21   33.186150-117.001975 223 00410
8GA9 02   33.271931 -84.412498 017 00914
8GA9 20   33.279682 -84.409492 197 00914
8MN3 17   46.600124 -94.220894 174 00785
8MN3 35   46.593166 -94.219826 354 00785
8NK4 09   42.943333 -78.138333 079 00853
8NK4 27   42.943333 -78.138333 259 00853
8TX6 18   30.940392 -99.189914 185 01306
8TX6 36   30.940392 -99.189914 365 01306
90NY 01   42.919508 -77.242778 359 00456
90NY 07   42.919508 -77.242778 059 00434
90NY 19   42.919508 -77.242778 179 00456
90NY 25   42.919508 -77.242778 239 00434
92CA 14   36.123207-119.890549 155 01097
92CA 32   36.114258-119.885376 335 01097
92NK 10   42.737125 -76.490669 099 00701
92NK 28   42.736094 -76.482222 279 00701
94FL 09   26.733305 -81.904305 084 00975
94FL 27   26.733610 -81.894478 264 00975
94TS 07   33.210075 -95.532725 073 00762
94TS 25   33.210075 -95.532725 253 00762
95NE 14   42.672764 -98.226569 149 00777
95NE 32   42.666775 -98.221656 329 00777
95TA 04   29.632469 -99.485435 048 00823
95TA 22   29.637424 -99.479103 228 00823
95WI 18   42.936111 -89.129722 182 00395
95WI 36   42.936111 -89.129722 362 00395
9AK5 16   61.121456-149.818558 185 00549
9AK5 34   61.116535-149.819443 365 00549
9IS0 09   40.542269 -91.340306 091 01039
9IS0 27   40.542653 -91.328775 271 01039
9IS2 09   40.483367 -88.270367 092 00732
9IS2 18   40.485894 -88.267514 182 00968
9IS2 27   40.483306 -88.263367 272 00732
9IS2 36   40.477722 -88.267556 362 00968
9KY9 13   37.745931 -82.779050 125 00936
9KY9 31   37.745931 -82.779050 305 00936
9NM9 16   33.005722-106.973278 169 03658
9NM9 34   32.973372-106.965658 349 03658
9TE2 14   30.574689-100.448378 150 01616
9TE2 32   30.562044-100.440006 330 01616
AGAT 13   -8.870342 161.008958 140 00844
AGAT 31   -8.876186 161.013889 320 00844
AGGA 18   -8.698447 160.682314 188 00945
AGGA 36   -8.706928 160.681081 368 00945
AGGB 11  -11.300914 159.795225 114 00666
AGGB 29  -11.303281 159.800836 294 00666
AGGC 13   -6.709522 156.394586 147 00659
AGGC 31   -6.714542 156.397803 327 00659
AGGE 04   -6.987925 155.879114 052 01650
AGGE 22   -6.978739 155.890883 232 01650
AGGF 18   -8.104919 159.577381 186 00565
AGGF 36   -8.110000 159.576844 366 00565
AGGH 06   -9.431967 160.045200 068 02200
AGGH 24   -9.424511 160.063808 248 02200
AGGI 17   -9.744722 159.839519 176 00676
AGGI 35   -9.750803 159.839803 357 00676
AGGJ 14   -9.865967 160.409050 149 00660
AGGJ 32   -9.871083 160.412150 329 00660
AGGK 10  -10.447478 161.893500 112 01210
AGGK 28  -10.451572 161.903750 292 01210
AGGL 05  -10.715144 165.789578 064 00914
AGGL 23  -10.711519 165.797086 244 00914
AGGM 07   -8.328881 157.253333 079 01800
AGGM 25   -8.325778 157.269378 259 01800
AGGN 14   -8.095100 156.862033 149 00898
AGGN 32   -8.101850 156.866200 329 00898
AGGO 04   -7.418492 155.563678 043 01000
AGGO 22   -7.411925 155.569728 223 01000
AGGP 12   -9.639492 161.422956 128 00800
AGGP 30   -9.643108 161.427697 308 00800
AGGQ 09   -5.514133 159.523236 093 00805
AGGQ 27   -5.514508 159.530494 273 00805
AGGR 12  -11.548683 160.060939 129 00720
